Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities,Latitude,Longitude
Haiti,Sud,Chardonnieres,HTI,HT0751,HT07,July,2022,0,0,18.3288075,-74.2246194
Haiti,Nord,Cap Haitien,HTI,HT0311,HT03,August,2022,0,0,19.7595236,-72.2008068
Haiti,Nord-Est,Fort Liberte,HTI,HT0411,HT04,August,2022,0,0,19.6635608,-71.8367046
Haiti,Nord-Est,Ouanaminthe,HTI,HT0421,HT04,August,2022,0,0,19.5485315,-71.7258332
Haiti,Nord-Ouest,Mole Saint Nicolas,HTI,HT0931,HT09,August,2022,0,0,19.8070204,-73.3766132
Haiti,Sud,Aquin,HTI,HT0731,HT07,August,2022,0,0,18.2809005,-73.394446
Haiti,Sud-Est,Belle Anse,HTI,HT0231,HT02,August,2022,0,0,18.2383019,-72.0661883
Haiti,Centre,Lascahobas,HTI,HT0631,HT06,August,2022,0,0,18.8298821,-71.9358047
Haiti,Grande-Anse,Corail,HTI,HT0834,HT08,August,2022,0,0,18.4899228,-73.9224749
Haiti,Nord,Saint Raphael,HTI,HT0341,HT03,August,2022,0,0,19.4392971,-72.1993956
Haiti,Ouest,Croix Des Bouquets,HTI,HT0131,HT01,August,2022,5,9,18.5775444,-72.2296219
Haiti,Ouest,Leogane,HTI,HT0121,HT01,August,2022,1,1,18.4122999,-72.754125
Haiti,Sud,Cayes,HTI,HT0711,HT07,August,2022,1,0,18.2696332,-73.8390224
Haiti,Sud-Est,Bainet,HTI,HT0221,HT02,August,2022,0,0,18.1848637,-72.7517144
Haiti,Sud-Est,Jacmel,HTI,HT0212,HT02,August,2022,0,0,18.2352587,-72.5375127
Haiti,Artibonite,Gonaives,HTI,HT0512,HT05,August,2022,0,0,19.4736171,-72.5920452
Haiti,Centre,Mirebalais,HTI,HT0621,HT06,August,2022,0,0,18.8344163,-72.104836
Haiti,Grande-Anse,Jeremie,HTI,HT0811,HT08,August,2022,0,0,18.5252739,-74.2286786
Haiti,Nippes,Anse-a-Veau,HTI,HT1021,HT10,August,2022,0,0,18.5034873,-73.3452756
Haiti,Nippes,Miragoane,HTI,HT1011,HT10,August,2022,0,0,18.4448425,-73.0886392
Haiti,Nord,Acul Du Nord,HTI,HT0321,HT03,August,2022,1,2,19.6822529,-72.3184496
Haiti,Nord-Est,Trou Du Nord,HTI,HT0431,HT04,August,2022,0,0,19.616781,-72.0248629
Haiti,Ouest,La Gonave,HTI,HT0151,HT01,August,2022,0,0,18.8318139,-73.0169791
Haiti,Artibonite,Marmelade,HTI,HT0551,HT05,August,2022,0,0,19.5174077,-72.3619143
Haiti,Nippes,Baraderes,HTI,HT1031,HT10,August,2022,0,0,18.4934059,-73.6681746
Haiti,Nord,Limbe,HTI,HT0361,HT03,August,2022,0,0,19.6918224,-72.3939267
Haiti,Ouest,Archaie,HTI,HT0142,HT01,August,2022,1,0,18.7728191,-72.5105775
Haiti,Ouest,Port-au-Prince,HTI,HT0111,HT01,August,2022,13,11,18.547327,-72.3395928
Haiti,Nord,Grande Riviere Du Nord,HTI,HT0331,HT03,August,2022,0,0,19.5778207,-72.1693457
Haiti,Nord,Plaisance,HTI,HT0371,HT03,August,2022,0,0,19.5981376,-72.4704457
Haiti,Sud,Port Salut,HTI,HT0721,HT07,August,2022,0,0,18.0767712,-73.9181353
Haiti,Centre,Hinche,HTI,HT0611,HT06,August,2022,0,0,19.1445541,-72.0087527
Haiti,Nord-Est,Vallieres,HTI,HT0441,HT04,August,2022,0,0,19.3924679,-71.9187743
Haiti,Nord-Ouest,Port De Paix,HTI,HT0911,HT09,August,2022,0,0,19.9389855,-72.8308129
Haiti,Sud,Coteaux,HTI,HT0743,HT07,August,2022,0,0,18.2304507,-74.0195041
Haiti,Artibonite,Gros Morne,HTI,HT0521,HT05,August,2022,0,0,19.6716098,-72.6783922
Haiti,Centre,Cerca La Source,HTI,HT0641,HT06,August,2022,0,0,19.1659775,-71.7904885
Haiti,Nord,Borgne,HTI,HT0351,HT03,August,2022,0,0,19.7717144,-72.5203293
Haiti,Nord-Ouest,Saint Louis Du Nord,HTI,HT0921,HT09,August,2022,0,0,19.9333656,-72.7209086
Haiti,Artibonite,Dessalines,HTI,HT0542,HT05,August,2022,2,0,19.2613129,-72.5170223
Haiti,Artibonite,Saint Marc,HTI,HT0531,HT05,August,2022,0,0,19.1020269,-72.699511
Haiti,Grande-Anse,Anse-d'Hainault,HTI,HT0821,HT08,August,2022,0,0,18.4858731,-74.4519539
Haiti,Sud,Chardonnieres,HTI,HT0751,HT07,August,2022,0,0,18.3288075,-74.2246194
Haiti,Nord,Cap Haitien,HTI,HT0311,HT03,September,2022,2,1,19.7595236,-72.2008068
Haiti,Nord-Est,Fort Liberte,HTI,HT0411,HT04,September,2022,0,0,19.6635608,-71.8367046
Haiti,Nord-Est,Ouanaminthe,HTI,HT0421,HT04,September,2022,0,0,19.5485315,-71.7258332
Haiti,Nord-Ouest,Mole Saint Nicolas,HTI,HT0931,HT09,September,2022,0,0,19.8070204,-73.3766132
Haiti,Sud,Aquin,HTI,HT0731,HT07,September,2022,0,0,18.2809005,-73.394446
Haiti,Sud-Est,Belle Anse,HTI,HT0231,HT02,September,2022,0,0,18.2383019,-72.0661883
Haiti,Centre,Lascahobas,HTI,HT0631,HT06,September,2022,1,0,18.8298821,-71.9358047
Haiti,Grande-Anse,Corail,HTI,HT0834,HT08,September,2022,0,0,18.4899228,-73.9224749
Haiti,Nord,Saint Raphael,HTI,HT0341,HT03,September,2022,0,0,19.4392971,-72.1993956
Haiti,Ouest,Croix Des Bouquets,HTI,HT0131,HT01,September,2022,5,8,18.5775444,-72.2296219
Haiti,Ouest,Leogane,HTI,HT0121,HT01,September,2022,1,1,18.4122999,-72.754125
Haiti,Sud,Cayes,HTI,HT0711,HT07,September,2022,3,3,18.2696332,-73.8390224
Haiti,Sud-Est,Bainet,HTI,HT0221,HT02,September,2022,0,0,18.1848637,-72.7517144
Haiti,Sud-Est,Jacmel,HTI,HT0212,HT02,September,2022,1,1,18.2352587,-72.5375127
Haiti,Artibonite,Gonaives,HTI,HT0512,HT05,September,2022,0,0,19.4736171,-72.5920452
Haiti,Centre,Mirebalais,HTI,HT0621,HT06,September,2022,0,0,18.8344163,-72.104836
Haiti,Grande-Anse,Jeremie,HTI,HT0811,HT08,September,2022,0,0,18.5252739,-74.2286786
Haiti,Nippes,Anse-a-Veau,HTI,HT1021,HT10,September,2022,0,0,18.5034873,-73.3452756
Haiti,Nippes,Miragoane,HTI,HT1011,HT10,September,2022,0,0,18.4448425,-73.0886392
Haiti,Nord,Acul Du Nord,HTI,HT0321,HT03,September,2022,0,0,19.6822529,-72.3184496
Haiti,Nord-Est,Trou Du Nord,HTI,HT0431,HT04,September,2022,0,0,19.616781,-72.0248629
Haiti,Ouest,La Gonave,HTI,HT0151,HT01,September,2022,0,0,18.8318139,-73.0169791
Haiti,Artibonite,Marmelade,HTI,HT0551,HT05,September,2022,0,0,19.5174077,-72.3619143
Haiti,Nippes,Baraderes,HTI,HT1031,HT10,September,2022,0,0,18.4934059,-73.6681746
Haiti,Nord,Limbe,HTI,HT0361,HT03,September,2022,0,0,19.6918224,-72.3939267
Haiti,Ouest,Archaie,HTI,HT0142,HT01,September,2022,3,1,18.7728191,-72.5105775
Haiti,Ouest,Port-au-Prince,HTI,HT0111,HT01,September,2022,22,21,18.547327,-72.3395928
Haiti,Nord,Grande Riviere Du Nord,HTI,HT0331,HT03,September,2022,0,0,19.5778207,-72.1693457
Haiti,Nord,Plaisance,HTI,HT0371,HT03,September,2022,0,0,19.5981376,-72.4704457
Haiti,Sud,Port Salut,HTI,HT0721,HT07,September,2022,0,0,18.0767712,-73.9181353
Haiti,Centre,Hinche,HTI,HT0611,HT06,September,2022,0,0,19.1445541,-72.0087527
Haiti,Nord-Est,Vallieres,HTI,HT0441,HT04,September,2022,0,0,19.3924679,-71.9187743
Haiti,Nord-Ouest,Port De Paix,HTI,HT0911,HT09,September,2022,0,0,19.9389855,-72.8308129
Haiti,Sud,Coteaux,HTI,HT0743,HT07,September,2022,0,0,18.2304507,-74.0195041
Haiti,Artibonite,Gros Morne,HTI,HT0521,HT05,September,2022,0,0,19.6716098,-72.6783922
Haiti,Centre,Cerca La Source,HTI,HT0641,HT06,September,2022,0,0,19.1659775,-71.7904885
Haiti,Nord,Borgne,HTI,HT0351,HT03,September,2022,0,0,19.7717144,-72.5203293
Haiti,Nord-Ouest,Saint Louis Du Nord,HTI,HT0921,HT09,September,2022,0,0,19.9333656,-72.7209086
Haiti,Artibonite,Dessalines,HTI,HT0542,HT05,September,2022,0,0,19.2613129,-72.5170223
Haiti,Artibonite,Saint Marc,HTI,HT0531,HT05,September,2022,0,0,19.1020269,-72.699511
Haiti,Grande-Anse,Anse-d'Hainault,HTI,HT0821,HT08,September,2022,0,0,18.4858731,-74.4519539
Haiti,Sud,Chardonnieres,HTI,HT0751,HT07,September,2022,0,0,18.3288075,-74.2246194
Haiti,Nord,Cap Haitien,HTI,HT0311,HT03,October,2022,1,0,19.7595236,-72.2008068
Haiti,Nord-Est,Fort Liberte,HTI,HT0411,HT04,October,2022,0,0,19.6635608,-71.8367046
Haiti,Nord-Est,Ouanaminthe,HTI,HT0421,HT04,October,2022,0,0,19.5485315,-71.7258332
Haiti,Nord-Ouest,Mole Saint Nicolas,HTI,HT0931,HT09,October,2022,0,0,19.8070204,-73.3766132
Haiti,Sud,Aquin,HTI,HT0731,HT07,October,2022,0,0,18.2809005,-73.394446
Haiti,Sud-Est,Belle Anse,HTI,HT0231,HT02,October,2022,0,0,18.2383019,-72.0661883
Haiti,Centre,Lascahobas,HTI,HT0631,HT06,October,2022,0,0,18.8298821,-71.9358047
Haiti,Grande-Anse,Corail,HTI,HT0834,HT08,October,2022,0,0,18.4899228,-73.9224749
Haiti,Nord,Saint Raphael,HTI,HT0341,HT03,October,2022,0,0,19.4392971,-72.1993956
Haiti,Ouest,Croix Des Bouquets,HTI,HT0131,HT01,October,2022,15,32,18.5775444,-72.2296219
Haiti,Ouest,Leogane,HTI,HT0121,HT01,October,2022,0,0,18.4122999,-72.754125
Haiti,Sud,Cayes,HTI,HT0711,HT07,October,2022,3,1,18.2696332,-73.8390224
Haiti,Sud-Est,Bainet,HTI,HT0221,HT02,October,2022,0,0,18.1848637,-72.7517144
Haiti,Sud-Est,Jacmel,HTI,HT0212,HT02,October,2022,0,0,18.2352587,-72.5375127
Haiti,Artibonite,Gonaives,HTI,HT0512,HT05,October,2022,0,0,19.4736171,-72.5920452
Haiti,Centre,Mirebalais,HTI,HT0621,HT06,October,2022,0,0,18.8344163,-72.104836
Haiti,Grande-Anse,Jeremie,HTI,HT0811,HT08,October,2022,0,0,18.5252739,-74.2286786
Haiti,Nippes,Anse-a-Veau,HTI,HT1021,HT10,October,2022,0,0,18.5034873,-73.3452756
Haiti,Nippes,Miragoane,HTI,HT1011,HT10,October,2022,1,0,18.4448425,-73.0886392
Haiti,Nord,Acul Du Nord,HTI,HT0321,HT03,October,2022,0,0,19.6822529,-72.3184496
Haiti,Nord-Est,Trou Du Nord,HTI,HT0431,HT04,October,2022,0,0,19.616781,-72.0248629
Haiti,Ouest,La Gonave,HTI,HT0151,HT01,October,2022,0,0,18.8318139,-73.0169791
Haiti,Artibonite,Marmelade,HTI,HT0551,HT05,October,2022,0,0,19.5174077,-72.3619143
Haiti,Nippes,Baraderes,HTI,HT1031,HT10,October,2022,0,0,18.4934059,-73.6681746
Haiti,Nord,Limbe,HTI,HT0361,HT03,October,2022,0,0,19.6918224,-72.3939267
Haiti,Ouest,Archaie,HTI,HT0142,HT01,October,2022,1,3,18.7728191,-72.5105775
Haiti,Ouest,Port-au-Prince,HTI,HT0111,HT01,October,2022,23,31,18.547327,-72.3395928
Haiti,Nord,Grande Riviere Du Nord,HTI,HT0331,HT03,October,2022,0,0,19.5778207,-72.1693457
Haiti,Nord,Plaisance,HTI,HT0371,HT03,October,2022,0,0,19.5981376,-72.4704457
Haiti,Sud,Port Salut,HTI,HT0721,HT07,October,2022,0,0,18.0767712,-73.9181353
Haiti,Centre,Hinche,HTI,HT0611,HT06,October,2022,1,6,19.1445541,-72.0087527
Haiti,Nord-Est,Vallieres,HTI,HT0441,HT04,October,2022,0,0,19.3924679,-71.9187743
Haiti,Nord-Ouest,Port De Paix,HTI,HT0911,HT09,October,2022,0,0,19.9389855,-72.8308129
Haiti,Sud,Coteaux,HTI,HT0743,HT07,October,2022,0,0,18.2304507,-74.0195041
Haiti,Artibonite,Gros Morne,HTI,HT0521,HT05,October,2022,1,0,19.6716098,-72.6783922
Haiti,Centre,Cerca La Source,HTI,HT0641,HT06,October,2022,1,1,19.1659775,-71.7904885
Haiti,Nord,Borgne,HTI,HT0351,HT03,October,2022,0,0,19.7717144,-72.5203293
Haiti,Nord-Ouest,Saint Louis Du Nord,HTI,HT0921,HT09,October,2022,0,0,19.9333656,-72.7209086
Haiti,Artibonite,Dessalines,HTI,HT0542,HT05,October,2022,7,22,19.2613129,-72.5170223
Haiti,Artibonite,Saint Marc,HTI,HT0531,HT05,October,2022,1,2,19.1020269,-72.699511
Haiti,Grande-Anse,Anse-d'Hainault,HTI,HT0821,HT08,October,2022,0,0,18.4858731,-74.4519539
Haiti,Sud,Chardonnieres,HTI,HT0751,HT07,October,2022,0,0,18.3288075,-74.2246194
Haiti,Nord,Cap Haitien,HTI,HT0311,HT03,November,2022,1,0,19.7595236,-72.2008068
Haiti,Nord-Est,Fort Liberte,HTI,HT0411,HT04,November,2022,0,0,19.6635608,-71.8367046
Haiti,Nord-Est,Ouanaminthe,HTI,HT0421,HT04,November,2022,1,0,19.5485315,-71.7258332
Haiti,Nord-Ouest,Mole Saint Nicolas,HTI,HT0931,HT09,November,2022,0,0,19.8070204,-73.3766132
Haiti,Sud,Aquin,HTI,HT0731,HT07,November,2022,0,0,18.2809005,-73.394446
Haiti,Sud-Est,Belle Anse,HTI,HT0231,HT02,November,2022,0,0,18.2383019,-72.0661883
Haiti,Centre,Lascahobas,HTI,HT0631,HT06,November,2022,0,0,18.8298821,-71.9358047
Haiti,Grande-Anse,Corail,HTI,HT0834,HT08,November,2022,0,0,18.4899228,-73.9224749
Haiti,Nord,Saint Raphael,HTI,HT0341,HT03,November,2022,0,0,19.4392971,-72.1993956
Haiti,Ouest,Croix Des Bouquets,HTI,HT0131,HT01,November,2022,4,3,18.5775444,-72.2296219
Haiti,Ouest,Leogane,HTI,HT0121,HT01,November,2022,0,0,18.4122999,-72.754125
Haiti,Sud,Cayes,HTI,HT0711,HT07,November,2022,0,0,18.2696332,-73.8390224
Haiti,Sud-Est,Bainet,HTI,HT0221,HT02,November,2022,0,0,18.1848637,-72.7517144
Haiti,Sud-Est,Jacmel,HTI,HT0212,HT02,November,2022,1,2,18.2352587,-72.5375127
Haiti,Artibonite,Gonaives,HTI,HT0512,HT05,November,2022,0,0,19.4736171,-72.5920452
Haiti,Centre,Mirebalais,HTI,HT0621,HT06,November,2022,0,0,18.8344163,-72.104836
Haiti,Grande-Anse,Jeremie,HTI,HT0811,HT08,November,2022,0,0,18.5252739,-74.2286786
Haiti,Nippes,Anse-a-Veau,HTI,HT1021,HT10,November,2022,1,1,18.5034873,-73.3452756
Haiti,Nippes,Miragoane,HTI,HT1011,HT10,November,2022,0,0,18.4448425,-73.0886392
Haiti,Nord,Acul Du Nord,HTI,HT0321,HT03,November,2022,0,0,19.6822529,-72.3184496
Haiti,Nord-Est,Trou Du Nord,HTI,HT0431,HT04,November,2022,0,0,19.616781,-72.0248629
Haiti,Ouest,La Gonave,HTI,HT0151,HT01,November,2022,0,0,18.8318139,-73.0169791
Haiti,Artibonite,Marmelade,HTI,HT0551,HT05,November,2022,0,0,19.5174077,-72.3619143
Haiti,Nippes,Baraderes,HTI,HT1031,HT10,November,2022,0,0,18.4934059,-73.6681746
Haiti,Nord,Limbe,HTI,HT0361,HT03,November,2022,0,0,19.6918224,-72.3939267
Haiti,Ouest,Archaie,HTI,HT0142,HT01,November,2022,5,76,18.7728191,-72.5105775
Haiti,Ouest,Port-au-Prince,HTI,HT0111,HT01,November,2022,21,6,18.547327,-72.3395928
Haiti,Nord,Grande Riviere Du Nord,HTI,HT0331,HT03,November,2022,0,0,19.5778207,-72.1693457
Haiti,Nord,Plaisance,HTI,HT0371,HT03,November,2022,0,0,19.5981376,-72.4704457
Haiti,Sud,Port Salut,HTI,HT0721,HT07,November,2022,0,0,18.0767712,-73.9181353
Haiti,Centre,Hinche,HTI,HT0611,HT06,November,2022,0,0,19.1445541,-72.0087527
Haiti,Nord-Est,Vallieres,HTI,HT0441,HT04,November,2022,0,0,19.3924679,-71.9187743
Haiti,Nord-Ouest,Port De Paix,HTI,HT0911,HT09,November,2022,0,0,19.9389855,-72.8308129
Haiti,Sud,Coteaux,HTI,HT0743,HT07,November,2022,0,0,18.2304507,-74.0195041
Haiti,Artibonite,Gros Morne,HTI,HT0521,HT05,November,2022,1,0,19.6716098,-72.6783922
Haiti,Centre,Cerca La Source,HTI,HT0641,HT06,November,2022,0,0,19.1659775,-71.7904885
Haiti,Nord,Borgne,HTI,HT0351,HT03,November,2022,0,0,19.7717144,-72.5203293
Haiti,Nord-Ouest,Saint Louis Du Nord,HTI,HT0921,HT09,November,2022,0,0,19.9333656,-72.7209086
Haiti,Artibonite,Dessalines,HTI,HT0542,HT05,November,2022,3,45,19.2613129,-72.5170223
Haiti,Artibonite,Saint Marc,HTI,HT0531,HT05,November,2022,2,3,19.1020269,-72.699511
Haiti,Grande-Anse,Anse-d'Hainault,HTI,HT0821,HT08,November,2022,0,0,18.4858731,-74.4519539
Haiti,Sud,Chardonnieres,HTI,HT0751,HT07,November,2022,0,0,18.3288075,-74.2246194
Haiti,Nord,Cap Haitien,HTI,HT0311,HT03,December,2022,0,0,19.7595236,-72.2008068
Haiti,Nord-Est,Fort Liberte,HTI,HT0411,HT04,December,2022,0,0,19.6635608,-71.8367046
Haiti,Nord-Est,Ouanaminthe,HTI,HT0421,HT04,December,2022,1,1,19.5485315,-71.7258332
Haiti,Nord-Ouest,Mole Saint Nicolas,HTI,HT0931,HT09,December,2022,0,0,19.8070204,-73.3766132
Haiti,Sud,Aquin,HTI,HT0731,HT07,December,2022,0,0,18.2809005,-73.394446
Haiti,Sud-Est,Belle Anse,HTI,HT0231,HT02,December,2022,0,0,18.2383019,-72.0661883
Haiti,Centre,Lascahobas,HTI,HT0631,HT06,December,2022,0,0,18.8298821,-71.9358047
Haiti,Grande-Anse,Corail,HTI,HT0834,HT08,December,2022,0,0,18.4899228,-73.9224749
Haiti,Nord,Saint Raphael,HTI,HT0341,HT03,December,2022,0,0,19.4392971,-72.1993956
Haiti,Ouest,Croix Des Bouquets,HTI,HT0131,HT01,December,2022,7,20,18.5775444,-72.2296219
Haiti,Ouest,Leogane,HTI,HT0121,HT01,December,2022,1,1,18.4122999,-72.754125
Haiti,Sud,Cayes,HTI,HT0711,HT07,December,2022,0,0,18.2696332,-73.8390224
Haiti,Sud-Est,Bainet,HTI,HT0221,HT02,December,2022,0,0,18.1848637,-72.7517144
Haiti,Sud-Est,Jacmel,HTI,HT0212,HT02,December,2022,0,0,18.2352587,-72.5375127
Haiti,Artibonite,Gonaives,HTI,HT0512,HT05,December,2022,0,0,19.4736171,-72.5920452
Haiti,Centre,Mirebalais,HTI,HT0621,HT06,December,2022,0,0,18.8344163,-72.104836
Haiti,Grande-Anse,Jeremie,HTI,HT0811,HT08,December,2022,0,0,18.5252739,-74.2286786
Haiti,Nippes,Anse-a-Veau,HTI,HT1021,HT10,December,2022,0,0,18.5034873,-73.3452756
Haiti,Nippes,Miragoane,HTI,HT1011,HT10,December,2022,1,1,18.4448425,-73.0886392
Haiti,Nord,Acul Du Nord,HTI,HT0321,HT03,December,2022,0,0,19.6822529,-72.3184496
Haiti,Nord-Est,Trou Du Nord,HTI,HT0431,HT04,December,2022,0,0,19.616781,-72.0248629
Haiti,Ouest,La Gonave,HTI,HT0151,HT01,December,2022,0,0,18.8318139,-73.0169791
Haiti,Artibonite,Marmelade,HTI,HT0551,HT05,December,2022,0,0,19.5174077,-72.3619143
Haiti,Nippes,Baraderes,HTI,HT1031,HT10,December,2022,0,0,18.4934059,-73.6681746
Haiti,Nord,Limbe,HTI,HT0361,HT03,December,2022,0,0,19.6918224,-72.3939267
Haiti,Ouest,Archaie,HTI,HT0142,HT01,December,2022,1,1,18.7728191,-72.5105775
Haiti,Ouest,Port-au-Prince,HTI,HT0111,HT01,December,2022,14,6,18.547327,-72.3395928
Haiti,Nord,Grande Riviere Du Nord,HTI,HT0331,HT03,December,2022,0,0,19.5778207,-72.1693457
Haiti,Nord,Plaisance,HTI,HT0371,HT03,December,2022,0,0,19.5981376,-72.4704457
Haiti,Sud,Port Salut,HTI,HT0721,HT07,December,2022,0,0,18.0767712,-73.9181353
Haiti,Centre,Hinche,HTI,HT0611,HT06,December,2022,1,2,19.1445541,-72.0087527
Haiti,Nord-Est,Vallieres,HTI,HT0441,HT04,December,2022,0,0,19.3924679,-71.9187743
Haiti,Nord-Ouest,Port De Paix,HTI,HT0911,HT09,December,2022,2,0,19.9389855,-72.8308129
Haiti,Sud,Coteaux,HTI,HT0743,HT07,December,2022,0,0,18.2304507,-74.0195041
Haiti,Artibonite,Gros Morne,HTI,HT0521,HT05,December,2022,0,0,19.6716098,-72.6783922
Haiti,Centre,Cerca La Source,HTI,HT0641,HT06,December,2022,0,0,19.1659775,-71.7904885
Haiti,Nord,Borgne,HTI,HT0351,HT03,December,2022,0,0,19.7717144,-72.5203293
Haiti,Nord-Ouest,Saint Louis Du Nord,HTI,HT0921,HT09,December,2022,0,0,19.9333656,-72.7209086
Haiti,Artibonite,Dessalines,HTI,HT0542,HT05,December,2022,1,0,19.2613129,-72.5170223
Haiti,Artibonite,Saint Marc,HTI,HT0531,HT05,December,2022,2,1,19.1020269,-72.699511
Haiti,Grande-Anse,Anse-d'Hainault,HTI,HT0821,HT08,December,2022,0,0,18.4858731,-74.4519539
Haiti,Sud,Chardonnieres,HTI,HT0751,HT07,December,2022,0,0,18.3288075,-74.2246194
Haiti,Nord,Cap Haitien,HTI,HT0311,HT03,January,2023,0,0,19.7595236,-72.2008068
Haiti,Nord-Est,Fort Liberte,HTI,HT0411,HT04,January,2023,0,0,19.6635608,-71.8367046
Haiti,Nord-Est,Ouanaminthe,HTI,HT0421,HT04,January,2023,0,0,19.5485315,-71.7258332
Haiti,Nord-Ouest,Mole Saint Nicolas,HTI,HT0931,HT09,January,2023,0,0,19.8070204,-73.3766132
Haiti,Sud,Aquin,HTI,HT0731,HT07,January,2023,0,0,18.2809005,-73.394446
Haiti,Sud-Est,Belle Anse,HTI,HT0231,HT02,January,2023,0,0,18.2383019,-72.0661883
Haiti,Centre,Lascahobas,HTI,HT0631,HT06,January,2023,0,0,18.8298821,-71.9358047
Haiti,Grande-Anse,Corail,HTI,HT0834,HT08,January,2023,0,0,18.4899228,-73.9224749
Haiti,Nord,Saint Raphael,HTI,HT0341,HT03,January,2023,0,0,19.4392971,-72.1993956
Haiti,Ouest,Croix Des Bouquets,HTI,HT0131,HT01,January,2023,4,5,18.5775444,-72.2296219
Haiti,Ouest,Leogane,HTI,HT0121,HT01,January,2023,2,2,18.4122999,-72.754125
Haiti,Sud,Cayes,HTI,HT0711,HT07,January,2023,0,0,18.2696332,-73.8390224
Haiti,Sud-Est,Bainet,HTI,HT0221,HT02,January,2023,0,0,18.1848637,-72.7517144
Haiti,Sud-Est,Jacmel,HTI,HT0212,HT02,January,2023,0,0,18.2352587,-72.5375127
Haiti,Artibonite,Gonaives,HTI,HT0512,HT05,January,2023,0,0,19.4736171,-72.5920452
Haiti,Centre,Mirebalais,HTI,HT0621,HT06,January,2023,0,0,18.8344163,-72.104836
Haiti,Grande-Anse,Jeremie,HTI,HT0811,HT08,January,2023,1,0,18.5252739,-74.2286786
Haiti,Nippes,Anse-a-Veau,HTI,HT1021,HT10,January,2023,0,0,18.5034873,-73.3452756
Haiti,Nippes,Miragoane,HTI,HT1011,HT10,January,2023,0,0,18.4448425,-73.0886392
Haiti,Nord,Acul Du Nord,HTI,HT0321,HT03,January,2023,1,1,19.6822529,-72.3184496
Haiti,Nord-Est,Trou Du Nord,HTI,HT0431,HT04,January,2023,0,0,19.616781,-72.0248629
Haiti,Ouest,La Gonave,HTI,HT0151,HT01,January,2023,1,0,18.8318139,-73.0169791
Haiti,Artibonite,Marmelade,HTI,HT0551,HT05,January,2023,0,0,19.5174077,-72.3619143
Haiti,Nippes,Baraderes,HTI,HT1031,HT10,January,2023,0,0,18.4934059,-73.6681746
Haiti,Nord,Limbe,HTI,HT0361,HT03,January,2023,0,0,19.6918224,-72.3939267
Haiti,Ouest,Archaie,HTI,HT0142,HT01,January,2023,0,0,18.7728191,-72.5105775
Haiti,Ouest,Port-au-Prince,HTI,HT0111,HT01,January,2023,23,13,18.547327,-72.3395928
Haiti,Nord,Grande Riviere Du Nord,HTI,HT0331,HT03,January,2023,0,0,19.5778207,-72.1693457
Haiti,Nord,Plaisance,HTI,HT0371,HT03,January,2023,0,0,19.5981376,-72.4704457
Haiti,Sud,Port Salut,HTI,HT0721,HT07,January,2023,0,0,18.0767712,-73.9181353
Haiti,Centre,Hinche,HTI,HT0611,HT06,January,2023,0,0,19.1445541,-72.0087527
Haiti,Nord-Est,Vallieres,HTI,HT0441,HT04,January,2023,0,0,19.3924679,-71.9187743
Haiti,Nord-Ouest,Port De Paix,HTI,HT0911,HT09,January,2023,0,0,19.9389855,-72.8308129
Haiti,Sud,Coteaux,HTI,HT0743,HT07,January,2023,0,0,18.2304507,-74.0195041
Haiti,Artibonite,Gros Morne,HTI,HT0521,HT05,January,2023,0,0,19.6716098,-72.6783922
Haiti,Centre,Cerca La Source,HTI,HT0641,HT06,January,2023,0,0,19.1659775,-71.7904885
Haiti,Nord,Borgne,HTI,HT0351,HT03,January,2023,0,0,19.7717144,-72.5203293
Haiti,Nord-Ouest,Saint Louis Du Nord,HTI,HT0921,HT09,January,2023,0,0,19.9333656,-72.7209086
Haiti,Artibonite,Dessalines,HTI,HT0542,HT05,January,2023,0,0,19.2613129,-72.5170223
Haiti,Artibonite,Saint Marc,HTI,HT0531,HT05,January,2023,3,0,19.1020269,-72.699511
Haiti,Grande-Anse,Anse-d'Hainault,HTI,HT0821,HT08,January,2023,0,0,18.4858731,-74.4519539
Haiti,Sud,Chardonnieres,HTI,HT0751,HT07,January,2023,0,0,18.3288075,-74.2246194
Haiti,Nord,Cap Haitien,HTI,HT0311,HT03,February,2023,1,2,19.7595236,-72.2008068
Haiti,Nord-Est,Fort Liberte,HTI,HT0411,HT04,February,2023,0,0,19.6635608,-71.8367046
Haiti,Nord-Est,Ouanaminthe,HTI,HT0421,HT04,February,2023,0,0,19.5485315,-71.7258332
Haiti,Nord-Ouest,Mole Saint Nicolas,HTI,HT0931,HT09,February,2023,0,0,19.8070204,-73.3766132
Haiti,Sud,Aquin,HTI,HT0731,HT07,February,2023,0,0,18.2809005,-73.394446
Haiti,Sud-Est,Belle Anse,HTI,HT0231,HT02,February,2023,0,0,18.2383019,-72.0661883
Haiti,Centre,Lascahobas,HTI,HT0631,HT06,February,2023,0,0,18.8298821,-71.9358047
Haiti,Grande-Anse,Corail,HTI,HT0834,HT08,February,2023,0,0,18.4899228,-73.9224749
Haiti,Nord,Saint Raphael,HTI,HT0341,HT03,February,2023,0,0,19.4392971,-72.1993956
Haiti,Ouest,Croix Des Bouquets,HTI,HT0131,HT01,February,2023,7,5,18.5775444,-72.2296219
Haiti,Ouest,Leogane,HTI,HT0121,HT01,February,2023,0,0,18.4122999,-72.754125
